bank,year,group,keyword,count,rel_freq,status,colname
CIMB,2024,FTOI,customer portrait,0,0.0,pypdf,FTOI__customer portrait
CIMB,2024,FTOI,digital wallet,1,7.941676329039533e-06,pypdf,FTOI__digital wallet
CIMB,2024,FTOI,inclusive credit,0,0.0,pypdf,FTOI__inclusive credit
CIMB,2024,FTOI,internet banking,0,0.0,pypdf,FTOI__internet banking
CIMB,2024,FTOI,lending platform,0,0.0,pypdf,FTOI__lending platform
CIMB,2024,FTOI,mobile banking,2,1.5883352658079067e-05,pypdf,FTOI__mobile banking
CIMB,2024,FTOI,mobile payment,0,0.0,pypdf,FTOI__mobile payment
CIMB,2024,FTOI,online banking,5,3.970838164519767e-05,pypdf,FTOI__online banking
CIMB,2024,FTOI,online finance,0,0.0,pypdf,FTOI__online finance
CIMB,2024,FTOI,online loan,0,0.0,pypdf,FTOI__online loan
CIMB,2024,FTOI,online payment,0,0.0,pypdf,FTOI__online payment
CIMB,2024,FTOI,predictive model,0,0.0,pypdf,FTOI__predictive model
CIMB,2024,FTOI,qr code payment,0,0.0,pypdf,FTOI__qr code payment
Maybank,2015,FTII,ai,2,1.629819171562915e-05,pypdf,FTII__ai
Maybank,2015,FTII,alliance chain,0,0.0,pypdf,FTII__alliance chain
Maybank,2015,FTII,artificial intelligence,0,0.0,pypdf,FTII__artificial intelligence
Maybank,2015,FTII,asymmetric encryption,0,0.0,pypdf,FTII__asymmetric encryption
Maybank,2015,FTII,big data,0,0.0,pypdf,FTII__big data
Maybank,2015,FTII,blockchain,0,0.0,pypdf,FTII__blockchain
Maybank,2015,FTII,cloud architecture,0,0.0,pypdf,FTII__cloud architecture
Maybank,2015,FTII,cloud computing,0,0.0,pypdf,FTII__cloud computing
Maybank,2015,FTII,cloud platform,0,0.0,pypdf,FTII__cloud platform
Maybank,2015,FTII,cloud service,0,0.0,pypdf,FTII__cloud service
Maybank,2015,FTII,data flow,0,0.0,pypdf,FTII__data flow
Maybank,2015,FTII,data mining,0,0.0,pypdf,FTII__data mining
